listing_name,post_id,address,address2,rent,bedrooms,datetime_posted,size,availability,description,attributes,lat,lon,html
"Downtown One Bedroom plus Den, One Bathroom Condo with Parking",post id: 6570781279,NA,NA,"$1,900",1BR / 1Ba,24/04/2018 21:56,NA,01/06/2018,"Be the first to live in this beautiful and very spacious downtown condo! It's a one bedroom plus den, one bathroom condo at 87 Peter St in the heart of downtown Toronto!","['condo', 'w/d in unit', 'attached garage']",43.646788,-79.392628,https://toronto.craigslist.ca/tor/apa/d/downtown-one-bedroom-plus-den/6570781279.html
One Bedroom Condo in the Distillery District,post id: 6570777623,(Distillery District),Distillery Lane at Parlaiment/Front,"$2,300",1BR / 1Ba,24/04/2018 21:39,600ft2,01/05/2018,Description,"['apartment', 'w/d in unit', 'no smoking', 'wheelchair accessible']",43.650081,-79.359097,https://toronto.craigslist.ca/tor/apa/d/one-bedroom-condo-in-the/6570777623.html
All Incl 1 Bd bsmt Apart.4 min walk to Blr sub/UP. Avail in June,post id: 6570774484,(Toronto),NA,"$1,550",1BR / 1Ba,24/04/2018 21:34,700ft2,17/06/2018,"Brand new, just renovated, stylish and clean 1 bedroom unit in the heart of Roncesvalles. Located in the basement of a detached owner-occupied house, this neighbourhood scores 100 out of 100 on the Transit score website for cities. This apartment is within a 4 minute walk to both the subway (closest stations are Keele or Dundas West) or even better the UP to get you to Union station or the airport in literally minutes! Also just steps to 4 different streetcars lines that run through the city (505 Dundas line, 306 Carlton/College line, and 504 King St Line, Queen Line) and a five minute drive to the QEW highway.","['\nsaturday 2018-04-28\n', '\nwednesday 2018-05-02\n', '\nsaturday 2018-05-05\n']",43.654708,-79.455185,https://toronto.craigslist.ca/tor/apa/d/all-incl-1-bd-bsmt-apart4-min/6570774484.html
4 room apt for rent in downtown toronto/ Dundas/Bathurst,post id: 6563774998,(Dundas/Bathurst),claremont at queen street,"$2,800",4BR / 2Ba,24/04/2018 21:31,NA,01/04/2018,"Great location, Close to 3 parks, including Trinity Bellwoods, Sanderson, grocery, TTC,","['cats are OK - purrr', 'dogs are OK - wooof', 'furnished', 'apartment', 'w/d in unit', 'no smoking', 'street parking']",43.647846,-79.409579,https://toronto.craigslist.ca/tor/apa/d/4-room-apt-for-rent-in/6563774998.html
1 bedroom apartment downtown koreatown - harbord/bathurst,post id: 6566741285,NA,markham at harbord,"$1,050",1BR / 1Ba,24/04/2018 21:31,NA,01/06/2018,Large spacious basement living area for rent in downtown,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking']",43.66157,-79.411111,https://toronto.craigslist.ca/tor/apa/d/1-bedroom-apartment-downtown/6566741285.html
Separate Apartment in a House with Separate Entrance and Full-washroom,post id: 6570760747,(North York),NA,"$1,000",1BR / 1Ba,24/04/2018 21:16,400ft2,04/01/2018,"A very clean, comfortable and independent room with its own brand-new full-washroom. The room offers a beautiful ravine view all year round. You will have separate entrance to the house.  Simple microwave cook is available. We provide three nutritious, balanced and healthy meals upon request at at additional reasonable cost. This home  is 2 minutes walking distance to public transit and in a very beautiful neighborhood. Parks, tennis court and library is 3 mins away by walking. The house is built on a slope and therefore there is no part of the house is underground including basement rooms. Reasonable utilities consumption is additional $100 and parking is available at additional $50.","['furnished', 'apartment', 'laundry on site', 'no smoking', 'carport']",43.734196,-79.318474,https://toronto.craigslist.ca/tor/apa/d/separate-apartment-in-house/6570760747.html
One bedroom apartment in a high raise basement for rent,post id: 6570740420,"(347 Morningside Ave, Scarborough,)",NA,$850,1BR / 1Ba,24/04/2018 20:59,NA,24/04/2018,"Very clean and bright apartment close to UTSC walking distance to shopping centre and Centennial College, furnished and all utilities are included","['cats are OK - purrr', 'dogs are OK - wooof', 'furnished', 'apartment']",43.774889,-79.188713,https://toronto.craigslist.ca/tor/apa/d/one-bedroom-apartment-in-high/6570740420.html
One Bedroom apartment- Toronto,post id: 6568086562,(Bathurst street),NA,"$1,150",1BR / 1Ba,24/04/2018 20:52,NA,24/04/2018,"One bedroom apartment.
-Dark faux hardwood floors.
-Grey kitchen cabinets.
-Easy access to public transit.
-Major intersection is Bathrust and Queen street west.",['apartment'],43.6541,-79.3978,https://toronto.craigslist.ca/tor/apa/d/one-bedroom-apartment-toronto/6568086562.html
1 Bed + Den Waterfront Condo (Mimico/Humber/Lakeshore) for Rent,post id: 6570743463,"(2230 Lake Shore Blvd W, Etobicoke,)",NA,$950,1BR / 1Ba,24/04/2018 20:51,NA,24/04/2018,Wake up to the beautiful Toronto Waterfront everyday!,"['cats are OK - purrr', 'dogs are OK - wooof', 'furnished', 'apartment']",43.621272,-79.482585,https://toronto.craigslist.ca/tor/apa/d/1-bed-den-waterfront-condo/6570743463.html
1 Bedroom Basement Apartment $830 Utilities Included,post id: 6568087748,(Weston/Finch),NA,$830,1BR / 1Ba,24/04/2018 20:51,NA,24/04/2018,"1 Bedroom Bsmt Apt with separate Front Walkout entrance, Weston/Finch, Nothing to Share, sep Bedroom, Kitchen, Bathroom & Living area, Large Windows in each room, Bright & Clean, Utilities, Central Ac, Internet/Cable & Parking Included.",['apartment'],43.7366,-79.5401,https://toronto.craigslist.ca/tor/apa/d/1-bedroom-basement-apartment/6568087748.html
3bath 2laundry 2kitchen fully detached Dundas West brick house,post id: 6570734089,(2 rusholme park cres),2 rusholme park cres,"$5,200",4BR / 3Ba,24/04/2018 20:37,NA,24/04/2018,,"['\nsaturday 2018-04-28\n', '\nsunday 2018-04-29\n']",43.651979,-79.428,https://toronto.craigslist.ca/tor/apa/d/3bath-2laundry-2kitchen-fully/6570734089.html
"Downtown 2 Bedroom plus Den, 2 Bathroom Condo with Parking",post id: 6562086584,NA,NA,"$2,300",2BR / 2Ba,24/04/2018 20:32,NA,01/06/2018,"Be the first to live in this beautiful and very spacious downtown condo! It's a two bedroom plus den, two full bathroom condo at 87 Peter St, in the heart of downtown Toronto!","['condo', 'w/d in unit', 'attached garage']",43.646788,-79.392628,https://toronto.craigslist.ca/tor/apa/d/downtown-2-bedroom-plus-den-2/6562086584.html
"Downtown One Bedroom plus Den, One Bathroom Condo with Parking",post id: 6562131766,NA,NA,"$1,900",1BR / 1Ba,24/04/2018 20:32,NA,01/06/2018,"Be the first to live in this beautiful and very spacious downtown condo! It's a one bedroom plus den, one bathroom condo at 87 Peter St in the heart of downtown Toronto!","['condo', 'w/d in unit', 'attached garage']",43.646788,-79.392628,https://toronto.craigslist.ca/tor/apa/d/downtown-one-bedroom-plus-den/6562131766.html
Dundas West: Spectacular 3bed brick house w/optional 1bed basement apt,post id: 6570728517,(2 rusholme park cres),2 rusholme park cres,"$3,900",3BR / 2Ba,24/04/2018 20:30,NA,24/04/2018,,"['\nsaturday 2018-04-28\n', '\nsunday 2018-04-29\n']",43.652017,-79.428071,https://toronto.craigslist.ca/tor/apa/d/dundas-west-spectacular-3bed/6570728517.html
SPACIOUS 2 BED 2 BATH CONDO APT AVAILABLE JUNE 1ST AT MARINE PARADE,post id: 6570727028,(110 MARINE PARADE DR),NA,"$2,800",2BR / 2Ba,24/04/2018 20:28,845ft2,01/06/2018,"BEAUTIFUL OPEN CONCEPT APARTMENT CONDO. AMENITIES INCLUDE: CONCIERGE, GYM, INDOOR POOL, MEDIA ROOM, PARTY/MEETING ROOM, VISITOR PARKING. WALK SCORE 60","['apartment', 'w/d in unit', 'no smoking', 'attached garage']",43.605647,-79.501321,https://toronto.craigslist.ca/tor/apa/d/spacious-2-bed-2-bath-condo/6570727028.html
2 Bedroom Condos $1700 www.TorontoCondoRentalsOnline.com,post id: 6561211986,(Toronto),NA,"$1,700",2BR / 2Ba,24/04/2018 20:24,900ft2,01/05/2018,***DO NOT REPLY TO THIS POST***,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'attached garage']",43.639367,-79.378967,https://toronto.craigslist.ca/tor/apa/d/2-bedroom-condos-1700/6561211986.html
"Stainless steel appliances and granite countertop, washer and dryer.",post id: 6570707123,(28 Linden Street Yorkville Toronto),NA,"$1,200",1BR / 1Ba,24/04/2018 20:17,NA,24/04/2018,One bedroom plus den fully furnished condo ready to move in,"['cats are OK - purrr', 'dogs are OK - wooof', 'furnished', 'apartment', 'no smoking']",43.671731,-79.388506,https://toronto.craigslist.ca/tor/apa/d/stainless-steel-appliances/6570707123.html
Toronto Relocation Specialist (Greater Toronto Area),post id: 6565647313,NA,NA,"$1,900",1BR / 1Ba,24/04/2018 20:17,NA,24/04/2018,"I provide customized Toronto real estate services and information to employed professionals relocating to Toronto. If a Toronto relocation is in your plans, my services are designed for people moving to Toronto. I have helped many executives and corporations from Canada, USA, Europe and around the world find real estate in Toronto. I have found accommodations for doctors moving to Toronto find that house, condo or rental residence close to the hospital they will be working. In addition, I have also helped flight attendants find rental accommodations close to the airport.","['condo', 'w/d in unit', 'attached garage']",N/A,N/A,https://toronto.craigslist.ca/tor/apa/d/toronto-relocation-specialist/6565647313.html
Beautiful 1 bedroom condo with parking and locker,post id: 6570718379,(900 mount pleasant rd),900 Mt Pleasant Rd,"$2,200",1BR / 1Ba,24/04/2018 20:16,600ft2,01/06/2018,"Beautiful 1 bedroom condo in prime location - Mount Pleasant & Eglinton - 8 minute walk to subway and TTC bus at your door. Coffee shops, grocery stores, Shoppers, restaurants and the best of Yonge and Eglinton at your convenience.","['apartment', 'w/d in unit', 'no smoking', 'attached garage', 'wheelchair accessible']",43.711232,-79.391373,https://toronto.craigslist.ca/tor/apa/d/beautiful-1-bedroom-condo/6570718379.html
STUNNING 2 BED 2 BATH CONDO APT AVAILABLE JUNE 1ST!,post id: 6570717199,(600 FLEET STREET),NA,"$2,500",2BR / 2Ba,24/04/2018 20:15,845ft2,01/06/2018,"MUST SEE IN PERSON HOME! AMENITIES INCLUDE: CONCIERGE, GUEST SUITES, GYM, INDOOR POOL, PARTY/MEETING ROOM, VISITOR PARKING WITH A 98 WALK SCORE.","['apartment', 'w/d in unit', 'no smoking', 'attached garage']",43.636677,-79.399939,https://toronto.craigslist.ca/tor/apa/d/stunning-2-bed-2-bath-condo/6570717199.html
Spacious Luxury 1 Bedroom Suite With All New and luxury finishing,post id: 6570716531,(276 St. Clair Avenue West Toronto),NA,"$1,000",1BR / 1Ba,24/04/2018 20:14,NA,24/04/2018,About the condo:,"['cats are OK - purrr', 'dogs are OK - wooof', 'furnished', 'apartment', 'no smoking']",43.686429,-79.408123,https://toronto.craigslist.ca/tor/apa/d/spacious-luxury-1-bedroom/6570716531.html
Spacious Luxury 1 Bedroom Suite With All New and luxury finishing,post id: 6570716467,(276 St. Clair Avenue West Toronto),NA,"$1,000",1BR / 1Ba,24/04/2018 20:14,NA,24/04/2018,About the condo:,"['cats are OK - purrr', 'dogs are OK - wooof', 'furnished', 'apartment', 'no smoking']",43.686429,-79.408123,https://toronto.craigslist.ca/tor/apa/d/spacious-luxury-1-bedroom/6570716467.html
"Stainless steel appliances and granite countertop, washer and dryer.",post id: 6570707174,(28 Linden Street Yorkville Toronto),NA,"$1,200",1BR / 1Ba,24/04/2018 20:07,NA,24/04/2018,One bedroom plus den fully furnished condo ready to move in,"['cats are OK - purrr', 'dogs are OK - wooof', 'furnished', 'apartment', 'no smoking']",43.671731,-79.388506,https://toronto.craigslist.ca/tor/apa/d/stainless-steel-appliances/6570707174.html
"Spacious & Open Concept Floor Plan With One Bedroom, 1 Washroom!",post id: 6570700689,(18 Yorkville AvenueToronto),NA,"$1,000",1BR / 1Ba,24/04/2018 20:04,NA,24/04/2018,"Location!!!Easy Access To Hwy , One Of The Best Layout In Building, In The Heart Of Downtown Toronto.","['cats are OK - purrr', 'dogs are OK - wooof', 'furnished', 'apartment', 'no smoking']",43.671731,-79.388506,https://toronto.craigslist.ca/tor/apa/d/spacious-open-concept-floor/6570700689.html
Stunning One Bedroom Plus Den Condo - 924 Square Feet,post id: 6570700849,"(95 Lombard St, Toronto)",NA,"$1,200",1BR / 1Ba,24/04/2018 20:03,NA,24/04/2018,HIGHLIGHTS AND FEATURES:,"['cats are OK - purrr', 'dogs are OK - wooof', 'furnished', 'apartment', 'no smoking']",43.652129,-79.373905,https://toronto.craigslist.ca/tor/apa/d/stunning-one-bedroom-plus-den/6570700849.html
Stunning One Bedroom Plus Den Condo - 924 Square Feet,post id: 6570700896,"(95 Lombard St, Toronto)",NA,"$1,200",1BR / 1Ba,24/04/2018 20:02,NA,24/04/2018,HIGHLIGHTS AND FEATURES:,"['cats are OK - purrr', 'dogs are OK - wooof', 'furnished', 'apartment', 'no smoking']",43.652129,-79.373905,https://toronto.craigslist.ca/tor/apa/d/stunning-one-bedroom-plus-den/6570700896.html
Spacious One Bedroom + Den All Utilities Included,post id: 6570707067,(2938 Danforth Ave Toronto),NA,"$1,000",1BR / 1Ba,24/04/2018 20:02,NA,24/04/2018,Spacious One Bedroom + Den All Utilities Included,"['cats are OK - purrr', 'dogs are OK - wooof', 'furnished', 'apartment', 'no smoking']",43.690069,-79.293499,https://toronto.craigslist.ca/tor/apa/d/spacious-one-bedroom-den-all/6570707067.html
Spacious One Bedroom + Den All Utilities Included,post id: 6570707018,(2938 Danforth Ave Toronto),NA,"$1,000",1BR / 1Ba,24/04/2018 20:02,NA,24/04/2018,Spacious One Bedroom + Den All Utilities Included,"['cats are OK - purrr', 'dogs are OK - wooof', 'furnished', 'apartment', 'no smoking']",43.690069,-79.293499,https://toronto.craigslist.ca/tor/apa/d/spacious-one-bedroom-den-all/6570707018.html
GORGEOUS 2 BEDROOM APARTMENT IN TORONTO,post id: 6570702885,(1687 Bathurst St),NA,$900,2BR / 1Ba,24/04/2018 19:57,NA,24/04/2018,"Be The First To Occupy This Gorgeous Reno'd Large 2 Bed Main Floor Of A Low Rise Art Deco Building. Sparkling Kitchen Includes Quartz Counters C/B With Breakfast Area. Engineered Wood Laminate Thru-Out. Bright & Spacious Unit W/ Ttc At Door. 1 Car Parking (Garage) & Laundry Included. Close To All Amenities Such As Restos & New Subway On Eglinton. Synagogues, Schools, Minutes To Downtown. This Is A Non-Smoking Building. Pristine Condition!","['cats are OK - purrr', 'dogs are OK - wooof', 'furnished', 'apartment']",N/A,N/A,https://toronto.craigslist.ca/tor/apa/d/gorgeous-2-bedroom-apartment/6570702885.html
"Spacious & Open Concept Floor Plan With One Bedroom, 1 Washroom!",post id: 6570700784,(18 Yorkville AvenueToronto),NA,"$1,000",1BR / 1Ba,24/04/2018 19:54,NA,24/04/2018,"Location!!!Easy Access To Hwy , One Of The Best Layout In Building, In The Heart Of Downtown Toronto.","['cats are OK - purrr', 'dogs are OK - wooof', 'furnished', 'apartment', 'no smoking']",43.671731,-79.388506,https://toronto.craigslist.ca/tor/apa/d/spacious-open-concept-floor/6570700784.html
STUDIO CONDO - Fully Furnished - Long or Short Term,post id: 6570694477,(YONGE and SHEPPARD),NA,"$1,700",0BR / 1Ba,24/04/2018 19:46,NA,01/07/2018,Studio Apt in a luxury Condominium.,"['condo', 'w/d in unit']",43.758232,-79.409523,https://toronto.craigslist.ca/tor/apa/d/studio-condo-fully-furnished/6570694477.html
**Amazing Location** 3 Bed Ossington / Trinity Bellwoods,post id: 6549650040,(Dundas West / Ossington Ave),Dundas st west at Ossington,"$2,800",3BR / 1Ba,24/04/2018 19:36,NA,01/05/2018,"Large , Newly Renovated, 3 Bedroom Apartment (with separate living room). 2nd Floor. Right in the heart of Ossington Avenue / Trinity Bellwoods. with 20'x 20' private walk out deck. 30 sec walk from Trinity Bellwoods park. Seconds from some of the trendiest , friendliest , tastiest bars and restaurants. of Toronto.","['cats are OK - purrr', 'apartment', 'no smoking', 'no parking']",43.649367,-79.421496,https://toronto.craigslist.ca/tor/apa/d/amazing-location-3-bed/6549650040.html
"Yonge/Sheppard, May 1, Fabulous 2+1 Bdrm Condo Panoramic View!",post id: 6568192088,NA,NA,"$3,000",2BR / 2Ba,24/04/2018 19:26,999ft2,01/05/2018,"You Will Love Living At Emerald Park! Located At Yonge And Sheppard, With Direct Access To Two Subway Lines And Minutes To The 401, Emerald Park Is An Epicenter Of North York! Deemed A "" Walkers Paradise"" You Can Easily Get To Anything You Need Within Minutes. Bright 2 Bed 2 Bath With A Spacious Den & Brand New Flooring! A Modern Kitchen Complete With Stainless Steel Appliances. Large Floor To Ceiling Windows Throughout, With Panoramic View Of The City","['condo', 'w/d in unit']",43.760529,-79.411684,https://toronto.craigslist.ca/tor/apa/d/yonge-sheppard-may-1-fabulous/6568192088.html
"Bloor/Jarvis, Stunning 1+1 Bdrm Condo W/Luxury Designed Finishes",post id: 6568196589,NA,NA,"$2,500",1BR / 1Ba,24/04/2018 19:26,699ft2,22/04/2018,"Available Immediately, Luxurious X2 Condo. 49 Story Glass Tower At Yorkville Area. Amazing City View. Stunning 1+1 Condo In The Downtown Core. 9Ft Ceilings With Floor To Ceiling Windows. Luxury Designed Finishes By Cecconi. Steps To Bloor, Yonge And Sherbourne Subway.","['condo', 'w/d in unit']",43.669705,-79.381144,https://toronto.craigslist.ca/tor/apa/d/bloor-jarvis-stunning-11-bdrm/6568196589.html
"Yonge/401, May 1, Wonderful 2 Bdrm Condo Overlooking Tranquil Park",post id: 6568196721,NA,NA,"$2,500",2BR / 2Ba,24/04/2018 19:26,999ft2,01/05/2018,"Well Appointed And Bright 2 Bedroom 2 Bathroom Unit At Yonge And 401. Great Finishes Include Hardwood Flooring Throughout And Modern Kitchen With Granite Counters. Immaculately Clean And Freshly Painted In Tasteful Neutral Tones. Overlooks A Tranquil Park And Close To Subway/Transit, Restaurants, Shopping And Easy Access To The 401. Literally Nothing To Do But Move In And Enjoy!","['condo', 'w/d in unit']",43.756641,-79.408205,https://toronto.craigslist.ca/tor/apa/d/yonge-401-may-1-wonderful-2/6568196721.html
"Bathurst/Finch,Beautifully Upgraded 3 Bdrm Condo Townhouse Fresh Paint",post id: 6568196832,NA,NA,"$2,500",3BR / 3Ba,24/04/2018 19:26,1399ft2,22/04/2018,"Available Immediately, Excellent Location, Close To All The Shooing & Transit Transportation, And Major Routes. Modern Concept.Upgraded And Freshly Painted Dec 2016. Open Concept Living-Dining, Very Spacious & Comfortable For Large Families.","['condo', 'w/d in unit']",43.7786,-79.445,https://toronto.craigslist.ca/tor/apa/d/bathurst-finchbeautifully/6568196832.html
"Yonge/Finch,May 16,Remarkable 2 Bdrm Penthouse Condo Breathtaking View",post id: 6568206442,NA,NA,"$2,350",2BR / 1Ba,24/04/2018 19:25,799ft2,16/05/2018,"Penthouse In Yonge And Finch Area. Unobstructed Breathtaking Se View. Walk-Out To Huge Balcony. Mins Walk From Finch Subway, York, Brampton And Go Stations. Closed To Schools, Parks, Banks, Shops, Restaurants, City Hall. Mins Drive To Hwy401. Lux Condo Bldg W/Gym, Billard, Theatre, Golf, Party Room, Guest Suites, 24Hr Concierge.","['condo', 'w/d in unit', 'no smoking']",43.778334,-79.415193,https://toronto.craigslist.ca/tor/apa/d/yonge-finchmay-16remarkable-2/6568206442.html
"Yonge/Eglinton, May 1, Beautiful 1+1 Bdrm Condo W/Fabulous Amenities",post id: 6568206547,NA,NA,"$2,350",1BR / 2Ba,24/04/2018 19:25,699ft2,01/05/2018,"Welcome To 83 Redpath. 1 Bedroom Plus Den With 2 Full Baths! Bright, Spacious, 9 Ft Ceiling, Facing Sunny West. Yonge & Eglinton Subway, Restaurant, Bars, Movie Theatres And Everything Yonge & Eglinton Offers!","['condo', 'w/d in unit']",43.706133,-79.39211,https://toronto.craigslist.ca/tor/apa/d/yonge-eglinton-may-1/6568206547.html
"Yonge/Finch, Impeccable 2 Bdrm Condo W/Direct Subway Access",post id: 6568216971,NA,NA,"$2,300",2BR / 2Ba,24/04/2018 19:25,999ft2,22/04/2018,"Available Immediately, Bright & Spacious 2 Bedroom 2 Washroom Open Concept Unit In Very Convenient Yonge & Finch Location With Direct Access To Finch Subway. Ttc & Go Station Within Walking Distance. Close To All Amenities, 24 Hour Concierge, Exercise Room With Lots Of Visitor Parking. Parking And Locker Included. Close To Shops, Schools, Entertainment, Restaurants & Much Much More.","['condo', 'w/d in unit']",43.781184,-79.413515,https://toronto.craigslist.ca/tor/apa/d/yonge-finch-impeccable-2-bdrm/6568216971.html
"Yonge/Finch,June 1, Incredible 2 Bdrm Condo W/Floor to Ceiling Windows",post id: 6568217092,NA,NA,"$2,200",2BR / 1Ba,24/04/2018 19:25,799ft2,01/06/2018,"Luxe Condominiums By Menkes. High Demand Location In The Heart Of North York. Minutes To Yonge/Finch Station And Viva/Go Terminal. Beautiful And Bright 2 Bedroom South View Unit. Open Concept Design, Ensuite Laundry, Granite Counter Top. Floor To Ceiling Windows.","['condo', 'w/d in unit']",43.784176,-79.416573,https://toronto.craigslist.ca/tor/apa/d/yonge-finchjune-1-incredible/6568217092.html
"Bayview/Sheppard, Fantastic 1+1 Bdrm Condo W/Fabulous View",post id: 6568217228,NA,NA,"$2,100",1BR / 2Ba,24/04/2018 19:25,699ft2,22/04/2018,"Available Immediately, * Fabulous ""The Empire"" Luxury Built By Daniels * Unobstructed East View * Across From Bayview Village * Steps To Subway, Park & All Amenities * Den Can Be Used As 2nd Bedroom & 2 Full Bathrooms *","['condo', 'w/d in unit']",43.767233,-79.384877,https://toronto.craigslist.ca/tor/apa/d/bayview-sheppard-fantastic-11/6568217228.html
"Yonge/Finch, May 1, Fabulous 1+1 Bdrm Condo W/Breathtaking View",post id: 6568228834,NA,NA,"$1,975",1BR / 1Ba,24/04/2018 19:25,699ft2,01/05/2018,"Unobstructed Breath Taking Open East View. State Of The Art Rec Facilities. Walking Distance To Subway And All Other Amenities On Yonge St. Restaurants, Shops, Transportation.....Excellent View Of Willowdale Green. 24 Hour Security, Amenities Such As Swimming Pool, Gym, Part Room Etc...","['condo', 'w/d in unit', 'no smoking']",43.778042,-79.469172,https://toronto.craigslist.ca/tor/apa/d/yonge-finch-may-1-fabulous-11/6568228834.html
"Don Mills/Sheppard, Brand New Open Concept 1+1 Bdrm Condo W/Great View",post id: 6568228936,NA,NA,"$1,950",1BR / 1Ba,24/04/2018 19:25,699ft2,22/04/2018,"Available Immediately, Brand New Unit, Never Live In Suite. Good Functional Layout. One Bedroom Plus Den With 9 Ft Ceiling. Den With Sliding Door And Can Be Used As A Second Bedroom. Big Balcony With Unobstructed View. Open Concept With Brightness Living And Dinning. Prime Location With Minutes Walk To Bus Station, Ttc Subway And Fairview Mall Shopping Centre. Easy Access To 401/404/Don Valley","['condo', 'w/d in unit', 'no smoking']",43.774031,-79.344544,https://toronto.craigslist.ca/tor/apa/d/don-mills-sheppard-brand-new/6568228936.html
"Bayview/Sheppard, June 1, Lovely 1+1 Bdrm Condo W/Parking&Locker Incl!",post id: 6568229044,NA,NA,"$1,950",1BR / 2Ba,24/04/2018 19:25,699ft2,01/06/2018,"Spacious 1Br+Den In A Quiet Building @ Bayview & Sheppard. Parking & Locker Included! Den Can Be Used As 2nd Br. Spotless Unit With 2 Bathrooms! Wonderful Location. Steps To Subway, Bayview Village, 401, Shopping, Restaurants, Ymca, Etc.","['condo', 'w/d in unit']",43.767216,-79.38487,https://toronto.craigslist.ca/tor/apa/d/bayview-sheppard-june-1/6568229044.html
"Yonge/Sheppard,Luxurious 1+1 Bdrm Condo W/Beautiful Unobstructed Views",post id: 6568229137,NA,NA,"$1,900",1BR / 1Ba,24/04/2018 19:25,699ft2,22/04/2018,"Available Immediately, Spectrum By Menkes, Luxury Condo At Yonge/Sheppard, Well Maintained Bright One Bedroom + Den Unit, Natural Lighting, Breakfast Bar And Open Concept With W/O Balcony, Unobstructed South West View, Walking Distance To Subway Both Yonge & Sheppard Lines, Supermarket, Shopping And Restaurants.","['condo', 'w/d in unit']",43.757757,-79.408623,https://toronto.craigslist.ca/tor/apa/d/yonge-sheppardluxurious-11/6568229137.html
"Yonge/Finch, June 1, Bright Spacious 1+1 Bdrm Condo",post id: 6568231477,NA,NA,"$1,900",1BR / 1Ba,24/04/2018 19:25,799ft2,01/06/2018,Luxury Building By Menkes>3 Minutes Walk To Finch Subway>a Variety Of Eateries Along Yonge>large One B,"['condo', 'w/d in unit']",43.779893,-79.415188,https://toronto.craigslist.ca/tor/apa/d/yonge-finch-june-1-bright/6568231477.html
"Downtown 2 Bedroom plus Den, 2 Bathroom Condo with Parking",post id: 6570659185,NA,NA,"$2,300",2BR / 2Ba,24/04/2018 19:20,NA,01/06/2018,"Be the first to live in this beautiful and very spacious downtown condo! It's a two bedroom plus den, two full bathroom condo at 87 Peter St, in the heart of downtown Toronto!","['condo', 'w/d in unit', 'attached garage']",43.646788,-79.392628,https://toronto.craigslist.ca/tor/apa/d/downtown-2-bedroom-plus-den-2/6570659185.html
"Downtown One Bedroom plus Den, One Bathroom Condo with Parking",post id: 6570660349,NA,NA,"$1,900",1BR / 1Ba,24/04/2018 19:20,NA,01/06/2018,"Be the first to live in this beautiful and very spacious downtown condo! It's a one bedroom plus den, one bathroom condo at 87 Peter St in the heart of downtown Toronto!","['condo', 'w/d in unit', 'attached garage']",43.646788,-79.392628,https://toronto.craigslist.ca/tor/apa/d/downtown-one-bedroom-plus-den/6570660349.html
★ LIBERTY VILLAGE - Condo w/ Parking & Locker ★,post id: 6570663656,(51 East Liberty Street),51 East Liberty St,"$2,650",2BR / 2Ba,24/04/2018 19:09,NA,18/06/2018,"Wow! Welcome Home To Your Luxury Two Bedroom + Den Condo Located In The Heart Of Liberty Village! Featuring A Stunning Toronto Skyline View, Floor to Ceiling Windows, Modern Kitchen With Stainless Steel Appliances, Spacious Bedrooms, En Suite Laundry, Sunny Walk-Out Balcony, (1) Parking Space and (1) Locker.","['condo', 'w/d in unit']",43.639026,-79.411283,https://toronto.craigslist.ca/tor/apa/d/liberty-village-condo-parking/6570663656.html
★ PENTHOUSE FOR RENT - Downtown Toronto ★,post id: 6570658176,(600 Fleet Street),600 Fleet Street,"$2,500",2BR / 2Ba,24/04/2018 19:03,NA,01/06/2018,"Welcome Home To Luxury Living In Downtown Toronto. Stunning Penthouse Suite Featuring Unobstructed Skyline Views, Wall to Wall Windows, Sleek Wood Floors, Modern Kitchen With Stainless Steel Appliances, En Suite Laundry, Two Spacious Bedrooms With Ample Closet Space and a Sunny Walk-Out Balcony With Majestic Views! (1) Parking Space and (1) Locker Included.","['condo', 'w/d in unit']",43.636715,-79.399702,https://toronto.craigslist.ca/tor/apa/d/penthouse-for-rent-downtown/6570658176.html
★ LIBERTY VILLAGE - Condo For Rent ★,post id: 6570651888,(65 East Liberty Street),65 East Liberty,"$2,200",1BR / 1Ba,24/04/2018 18:55,NA,23/05/2018,"Experience Luxury Condo Living In Liberty Village. Spacious 1 Bedroom + 1 Bathroom Suite Featuring Unobstructed Lake Views, Sleek Wood Floors, Wall to Wall Windows, Modern Kitchen With Stainless Appliances, En Suite Laundry and a Private Walk-Out Balcony.","['condo', 'w/d in unit', 'no parking']",43.638498,-79.41433,https://toronto.craigslist.ca/tor/apa/d/liberty-village-condo-for/6570651888.html
SPACIOUS 2 BR WITH PARKING+LOCKER NEAR ST. LAWRENCE MARKET.,post id: 6570643512,(Toronto),400 Adelaide,"$2,900",2BR / 2Ba,24/04/2018 18:46,960ft2,01/06/2018,"Welcome to ""IVORY ON ADELAIDE"". Floor to ceiling windows, 960 sq feet in upscale building! Spacious 2 bedrooms and 2 full bathrooms, with view of lake and a city! Balcony with two walk outs, Just minutes walk from entertainment district, st Lawrence market, subway.. one parking and one locker are included. Available  June 1st.   Contact Michael","['apartment', 'w/d in unit', 'attached garage']",43.652462,-79.367609,https://toronto.craigslist.ca/tor/apa/d/spacious-2-br-with/6570643512.html
